Designator,Mid X,Mid Y,Rotation,Layer
C1,189.6,-79.4,90.0,top
C2,191.8,-79.45,270.0,top
C3,182.2,-66.55,270.0,top
C4,173.8,-66.65,90.0,top
C5,191.8,-84.45,270.0,top
C6,189.4,-84.4,270.0,top
D1,178.0,-71.96,90.0,top
J1,190.8,-70.0,90.0,top
J2,191.2,-118.39,0.0,top
R1,178.0,-66.5125,90.0,top
R2,173.8,-72.0,90.0,top
R4,191.0,-128.0,90.0,top
R5,152.8075,-124.755,0.0,top
R6,152.8075,-129.755,0.0,top
R7,152.8075,-113.755,0.0,top
R8,152.8075,-108.955,0.0,top
SW1,188.2,-59.2,0.0,top
SW2,188.15,-49.85,180.0,top
SW4,187.55,-136.55,0.0,top
SW5,148.105,-125.155,0.0,top
SW6,150.75,-136.55,0.0,top
SW7,148.105,-114.255,0.0,top
SW8,148.105,-103.355,0.0,top
U1,187.66,-99.9,270.0,top
U2,183.0,-83.2,0.0,top
